War,"Death
range",Date,Combatants,Location,Notes
Bar Kokhba Revolt,"580,000",132–136,Roman Empire vs. Jews,Middle East,"– Also known as the Third Jewish–Roman War
– Part of Jewish–Roman Wars"
Chinese Warring States,"1,500,000+",c. 475 BC – 221 BC,Seven great powers of China,China,"Estimated at 1,500,000 before Qin's wars of unification[1]"
Cimbrian War,"410,000–650,000",113 BC–101 BC,Roman Republic vs. Cimbri and Teutones,Western Europe,Part of the Germanic Wars
Conquests of Cyrus the Great,"100,000+",549 BC–530 BC,Persian Empire vs. various states,Middle East,"Number given is the sum of all deaths in battle recorded by Persian writers during this time period, does not take into account civilian deaths, the actual number may be much greater."
First Jewish–Roman War,"250,000–1,100,000[5]",66–73,Roman Empire vs. Jews,Middle East,– Part of Jewish–Roman Wars
First Punic War,"400,000+",264 BC–241 BC,Roman Republic vs. Carthaginian Empire,Southern Europe / North Africa,Part of the Punic Wars
Gallic Wars,"1,000,000+",58 BC–50 BC,Roman Republic vs. Gallic tribes,France,
Greco–Persian Wars,"300,000+",499 BC–449 BC,Greek City-States vs. Persian Empire,Greece,
Hunnic Reclaims,"165,000+
[citation needed]",395–453,Roman Empire vs. Hunnic Empire,Europe,Number given is the sum of all deaths in battle recorded by Roman writers during this time period; does not take into account civilian deaths; the actual number may be much greater.
Iceni Revolt,"150,000+[4]",60–61,Roman Empire vs. Celtic tribes,England,Year is uncertain – Part of the Roman Conquest of Britain
Jewish–Roman Wars,"1,270,000–2,000,000[5]",66–136,Roman Empire vs. Jews,Middle East/North Africa,Deaths caused by Roman attempt to permanently root out Judaism included.
Kitos War,"440,000+",115–117,Roman Empire vs. Jews,Southern Europe / North Africa,"– Also known as the Second Jewish–Roman War
– Part of Jewish–Roman Wars"
Punic Wars,"1,620,000–1,920,000+",264 BC–146 BC,Roman Republic vs. Carthaginian Empire,Western Europe / North Africa,
Qin's Wars of Unification,"700,000+[citation needed]",230 BC–221 BC,"Qin state vs. Han, Zhao, Yan, Wei, Chu, Qi States",China,Part of Warring States period
Roman civil wars from Social War (91–87 BC) to War of Actium,"3,000,000+[3]",91 BC– 30 BC,Roman civil wars,Europe/North Africa/Middle East,Fall of the Roman Republic
Samnite Wars,"33,500+",343 BC–290 BC,Roman Republic vs. Samnites,Italy,"Number given is the sum of all deaths in battle recorded by Roman writers during this time period, does not take into account civilian deaths, the actual number may be much greater."
Second Punic War,"770,000+",218 BC–201 BC,Roman Republic vs. Carthaginian Empire,Western Europe / North Africa,[2] – Part of the Punic Wars
Third Punic War,"450,000–750,000+",149 BC–146 BC,Roman Republic vs. Carthaginian Empire,Tunisia,Part of the Punic Wars
Three Kingdoms War,"36,000,000–40,000,000",184–280,Wei vs. Shu vs. Wu,China,"[6][7] – Academically, the period of the Three Kingdoms refers to the period between the foundation of the state of Wei in 220 and the conquest of the state of Wu by the Jin dynasty in 280. The earlier, ""unofficial"" part of the period, from 184 to 220, was marked by chaotic infighting between warlords in various parts of China.See: End of the Han dynasty - Also, note that the death range provided is actually the amount the population declined according to the census data and is likely an overestimation of actual combat fatalities."
