event,eventLabel,date,start_date,end_date,countryLabel,locationLabel,participantLabel,biggerWarInstanceLabel,smallerWarInstanceLabel,casualties,isReligious,isCivil
http://www.wikidata.org/entity/Q184637,Ten Years' War,1868-10-10T00:00:00Z,1868-10-10T00:00:00Z,1878-01-01T00:00:00Z,,Cuba,"Ejército Libertador Cubano, Spain under the Restoration",history of Cuba,"Hornet incident, Battle of Pino de Baire, Battle of Las Guásimas, Virginius Affair, Jagüey Grande uprising",,no,no
http://www.wikidata.org/entity/Q185729,War on Terror,,2001-09-11T00:00:00Z,,,,"Islamic State, Taliban, United Kingdom, People's Republic of China, Turkistan Islamic Party, Russia, France, United States of America, Al-Qaeda",,"Operation Enduring Freedom – Horn of Africa, Iraq War, Afghanistan conflict, insurgency in Khyber Pakhtunkhwa, North Korea–United States relations, Operation Enduring Freedom – Philippines, drone strikes in Pakistan, drone strikes in Yemen, Operation Juniper Shield, Iraqi conflict, Operation Active Endeavour, Operation Zarb-e-Azb, Operation Arabian Knight, Colombian conflict, War in Somalia (2006–2009), Operation Herrick, Islamist insurgency in the Sahel, Operation Enduring Freedom, War in Afghanistan, Sectarian violence in Pakistan, Insurgency in the Maghreb (2002–), Operation Neptune Spear, Chenagai airstrike, Operation Able Warrior, Operation Able Rising Force, 2007 Lebanon conflict, Operation Phantom Linebacker",,no,no
http://www.wikidata.org/entity/Q186284,Polish–Soviet War,1920-10-18T00:00:00Z,1919-02-01T00:00:00Z,1921-03-01T00:00:00Z,,Central and Eastern Europe,"Byelorussian Soviet Socialist Republic, Ukrainian Soviet Socialist Republic, Lithuanian–Byelorussian Soviet Socialist Republic, Russian Soviet Federative Socialist Republic, Second Polish Republic, Polish Socialistic Soviet Republic",Russian Civil War,"Battle of Dęblin and Mińsk Mazowiecki, Battle of Głębokie, Battle of Sejny, Battle of Radzymin, Battle of Białystok, Battle of Ossów, Battle of Ostrołęka, Battle of Warsaw, Battle of Skorodno, Battle of Nasielsk, Battle of Komarów, Battle of Lida, Battle of Zadwórze, Battle of Kobryń, Kyiv offensive, Battle of Prużany, Battle of Bereza Kartuska, Operation Minsk, Fights for Wilno (1918-1919), Battle of the Wkra, Battle of the Niemen River, Battle of Daugavpils, Battle of Hrebionka, Battle of Bystryk, Vilna offensive, Battle of Wołodarka, Battle of Cyców, Battle of Boryspil, Battle of Lwów, Battle of Letychiv, Battle of Żytomierz, Battle of Kock, Bitwa o przedmoście warszawskie, Battle of Koziatyn, Battle of Czarnobyl, Polish–Soviet War in 1919, First Battle of Grodno, Battle of Dytiatyn",,no,no
http://www.wikidata.org/entity/Q186336,Dutch Revolt,1568-01-01T00:00:00Z,1568-01-01T00:00:00Z,1648-01-01T00:00:00Z,,,"Dutch Republic, Spanish Empire",,"Battle of Lillo, Siege of Lingen, Taking of Diest",,no,no
http://www.wikidata.org/entity/Q189266,Eastern Front,,1941-06-22T00:00:00Z,"1945-05-07T00:00:00Z, 1955-01-21T00:00:00Z",Soviet Union,"Northern Europe, Europe, Central Europe, Balkans, Soviet Union, Eastern Europe","Allies of the Second World War, Kingdom of Romania, Soviet Union, Kingdom of Italy under Fascism, Yugoslav Partisans, Slovak Republic, Hungary, Nazi Germany, Finland",Eastern European theatre of World War II,"Vienna Offensive, Siege of Odesa 1941, Nagykanizsa–Körmend Offensive, Baltic Offensive, Leningrad–Novgorod Offensive, Leningrad Front, Operation Büffel, Siege of Leningrad, Vyazemsky operation, Battle for Leningrad, Battle of Kursk, Anti-Soviet resistance by the Ukrainian Insurgent Army, Battle of Moscow, Moonsund Landing Operation, Defense of Kalinin, Battle of Lenino, Tartu Offensive, Battle of Nerva Island, Battle of Berlin, Continuation War, Dnieper–Carpathian Offensive, First Jassy–Kishinev Offensive, East Pomeranian Offensive, Operation Kutuzov, Action of 26 June 1941, Crimean Offensive, Mozdok-Malgobek Operation, Battle of Bryansk, Ostrogozhsk–Rossosh Offensive, Kerch-Feodosia Landing Operation, Battle of Hanko, Operation Rail War, Case Blue, Third Battle of Kharkov, Second Battle of Kharkov, Battle of Studzianki, Battle of the Dnieper, Donbass Strategic Offensive (August 1943), First Battle of Kharkov, Battle of Bautzen, Battle of Sokolovo, Battle of Memel, Battle of Sukho Island, Operation Edelweiss, Baltic Operation, Voronezh–Kharkov Offensive, Soviet Airstrike Against Berlin in 1941, Nemmersdorf massacre, Battle of Belgorod, Battle of Rivne, Budapest Offensive, Ol′shanskiy amphibious landing, Battle of Rostov, Defense of Brest Fortress, Stalin's ten blows, Mirgorod direction offensive, Operation Gallop, Battle of Kiev (1943), Hunger Plan, Barvenkovo–Lozovaya offensive, Battle of Tula, Nevsky Pyatachok & Nevskaya Dubrovka, Crimean Campaign, Siege of Breslau, Arctic naval operations of World War II, Danube Delta Campaign, Axis and Soviet air operations during Operation Barbarossa, Battle of the Dukla Pass, Battle of the Sea of Azov, Operation Zauberflöte, Battle of Debrecen, Battle of Kalach, German Instrument of Surrender, Operation Silver Fox, Vistula–Oder Offensive, Tula offensive operation, Battle of Smolensk, Moravia–Ostrava offensive, Roslavl–Novozybkov Offensive, Narva Offensive (18–24 March 1944), Operation Bagration, Battle of the Caucasus, Attack of the U-209 on the convoy near Matveyev Island, Kozelsk Offensive, Donbass Strategic Offensive, Operation Barbarossa, War memorials in Radvaň nad Dunajom, Black Sea campaigns, Battle of Lepel, Baltic Sea campaigns, Operation Wirbelwind, Battle of the Kerch Peninsula, Battle of Nevel (1943), Battle of Raseiniai, Lvov–Sandomierz Offensive, Operation München, Battle of Romania, Battle of Radzymin, Battles of Rzhev, Northern Finland in the offensive phase of the Continuation War in 1941, Bratislava-Brno Offensive, Battle of the Oder–Neisse, Sinyavino Heights, Rostov Defensive Operation, Bombing of Moscow in 1941, Frontier battles of Operation Barbarossa (1941), Battle of the Seelow Heights, Uman–Botoşani Offensive, Petsamo–Kirkenes Offensive, Yevpatoria assault, Defense of the Adzhimushkay quarry, Battle of the Dniestr River Crossing, Battle for Narva (1944), Siege of Sevastopol, Jassy–Kishinev Offensive, Kholm Pocket, Defense of Borisov, Soviet air strikes on Berlin, Heiligenbeil Pocket",,no,no
http://www.wikidata.org/entity/Q190029,Kosovo War,1998-02-01T00:00:00Z,1998-02-27T00:00:00Z,1999-06-11T00:00:00Z,,Kosovo,"Kosovo Liberation Army, Luxembourg, Turkey, Federal Republic of Yugoslavia, Canada, United Kingdom, Germany, Portugal, Spain, France, Netherlands, Albania, Italy, Denmark, Hungary, Iceland, Czech Republic, Norway, Belgium, United States of America, Poland",Yugoslav Wars,"Battle of Glodjane, Operation Echo, Battle of Podujevo, Likoshane and Qirez massacre, Battle of Junik, Attack on Orahovac, Attack on Prekaz, Meja massacre, April 23, 1998 Albanian–Yugoslav border ambush, December 14, 1998 Albanian–Yugoslav border ambush, NATO bombing of Yugoslavia, Battle of Lodja, Meja ambush, Albania–Yugoslav border incident, Izbica massacre, July 18, 1998 Albanian–Yugoslav border clashes, December 3, 1998 Albanian–Yugoslav border clash, Battle of Belaćevac Mine",,no,no
http://www.wikidata.org/entity/Q190758,War in Darfur,2003-02-26T00:00:00Z,2003-02-26T00:00:00Z,,Sudan,Darfur,"Sudan Revolutionary Front, Sudanese Awakening Revolutionary Council, African Union – United Nations Hybrid Operation in Darfur, Janjaweed, Sudan",,"Darfur genocide, 2008 attack on Omdurman and Khartoum, Raids on Haskanita, Battle of Foro Baranga",,no,no
http://www.wikidata.org/entity/Q191282,First Opium War,1839-01-01T00:00:00Z,1839-03-18T00:00:00Z,1842-08-29T00:00:00Z,,People's Republic of China,"Qing dynasty, United Kingdom of Great Britain and Ireland","timeline of the Qing dynasty, Opium Wars","Battle of Amoy, Battle of Whampoa, Battle of the Bogue, Battle of Chinhai, Battle of Ningpo, Battle of Chapoo, Battle of Chinkiang, Nerbudda incident, Battle of Chuenpee, Battle of First Bar, Battle of Tsekee, Capture of Chusan, Battle of Canton (May 1841), Second Battle of Chuenpee, Battle of Da'an, Battle of Kowloon, Battle of Woosung, Battle of Canton (March 1841), Battle of the Barrier",,no,no
http://www.wikidata.org/entity/Q194378,Third Servile War,,-0072-01-01T00:00:00Z,-0070-01-01T00:00:00Z,,Italian Peninsula,"Ancient Rome, Spartacus, Ganicus, Crixus, Oenomaus",Servile Wars,"Battle of Picenum, Battle of Cantenna, Battle of the Silarius River, Battle of Mount Gargano, Battle of Mount Vesuvius, Battle of the Crassus' Wall, battle of Modena (72 BCE)",,no,no
http://www.wikidata.org/entity/Q195378,Anglo-Nepalese War,1814-11-01T00:00:00Z,1814-01-01T00:00:00Z,1816-01-01T00:00:00Z,,Kingdom of Nepal,"East India Company, Patiala State, Garhwal Kingdom, Kingdom of Sikkim, Kingdom of Nepal",,"Battle of Nalapani, Battle of Jit Gadhi, Battle of Jaithak",,no,no
