event,eventLabel,date,start_date,end_date,countryLabel,locationLabel,participantLabel,biggerWarInstanceLabel,smallerWarInstanceLabel,casualties,isReligious,isCivil
http://www.wikidata.org/entity/Q184637,Ten Years' War,1868-10-10T00:00:00Z,1868-10-10T00:00:00Z,1878-01-01T00:00:00Z,,Cuba,"Ejército Libertador Cubano, Spain under the Restoration",history of Cuba,"Jagüey Grande uprising, Virginius Affair, Hornet incident, Battle of Las Guásimas, Battle of Pino de Baire",,no,no
http://www.wikidata.org/entity/Q185729,War on Terror,,2001-09-11T00:00:00Z,,,,"Taliban, People's Republic of China, Islamic State, Turkistan Islamic Party, United Kingdom, Al-Qaeda, Russia, United States of America, France",,"Iraq War, 2007 Lebanon conflict, Sectarian violence in Pakistan, Insurgency in the Maghreb (2002–), Operation Able Warrior, Operation Herrick, Operation Zarb-e-Azb, Iraqi conflict, insurgency in Khyber Pakhtunkhwa, War in Afghanistan, Operation Able Rising Force, drone strikes in Pakistan, Operation Enduring Freedom, drone strikes in Yemen, Operation Arabian Knight, Operation Phantom Linebacker, Operation Neptune Spear, Operation Enduring Freedom – Horn of Africa, Islamist insurgency in the Sahel, Operation Juniper Shield, Afghanistan conflict, North Korea–United States relations, Operation Active Endeavour, Chenagai airstrike, Colombian conflict, War in Somalia (2006–2009), Operation Enduring Freedom – Philippines",,no,no
http://www.wikidata.org/entity/Q186284,Polish–Soviet War,1920-10-18T00:00:00Z,1919-02-01T00:00:00Z,1921-03-01T00:00:00Z,,Central and Eastern Europe,"Second Polish Republic, Byelorussian Soviet Socialist Republic, Lithuanian–Byelorussian Soviet Socialist Republic, Russian Soviet Federative Socialist Republic, Polish Socialistic Soviet Republic, Ukrainian Soviet Socialist Republic",Russian Civil War,"Battle of Skorodno, Battle of Hrebionka, Battle of Bereza Kartuska, Battle of Głębokie, Battle of Białystok, First Battle of Grodno, Polish–Soviet War in 1919, Battle of Warsaw, Battle of Koziatyn, Battle of the Niemen River, Battle of Cyców, Battle of Dytiatyn, Battle of Radzymin, Battle of Sejny, Battle of Prużany, Battle of Boryspil, Battle of Nasielsk, Battle of Lwów, Battle of Bystryk, Battle of Dęblin and Mińsk Mazowiecki, Operation Minsk, Battle of Kock, Battle of Komarów, Bitwa o przedmoście warszawskie, Vilna offensive, Battle of Ostrołęka, Battle of Żytomierz, Kyiv offensive, Battle of Zadwórze, Battle of Wołodarka, Battle of the Wkra, Battle of Lida, Battle of Czarnobyl, Battle of Letychiv, Fights for Wilno (1918-1919), Battle of Daugavpils, Battle of Ossów, Battle of Kobryń",,no,no
http://www.wikidata.org/entity/Q186336,Dutch Revolt,1568-01-01T00:00:00Z,1568-01-01T00:00:00Z,1648-01-01T00:00:00Z,,,"Dutch Republic, Spanish Empire",,"Battle of Lillo, Taking of Diest, Siege of Lingen",,no,no
http://www.wikidata.org/entity/Q189266,Eastern Front,,1941-06-22T00:00:00Z,"1945-05-07T00:00:00Z, 1955-01-21T00:00:00Z",Soviet Union,"Balkans, Eastern Europe, Northern Europe, Soviet Union, Europe, Central Europe","Nazi Germany, Yugoslav Partisans, Kingdom of Romania, Finland, Soviet Union, Slovak Republic, Hungary, Allies of the Second World War, Kingdom of Italy under Fascism",Eastern European theatre of World War II,"Operation Kutuzov, Battles of Rzhev, Operation Wirbelwind, Battle of Rostov, Heiligenbeil Pocket, Siege of Breslau, Tula offensive operation, Crimean Campaign, Battle of Kalach, Soviet Airstrike Against Berlin in 1941, Ol′shanskiy amphibious landing, Baltic Operation, Vistula–Oder Offensive, Rostov Defensive Operation, Defense of Kalinin, Battle of Rivne, Battle of Berlin, Kerch-Feodosia Landing Operation, Leningrad Front, Battle of Kursk, Battle of Studzianki, First Battle of Kharkov, Battle of Nerva Island, Kozelsk Offensive, Baltic Offensive, Nagykanizsa–Körmend Offensive, War memorials in Radvaň nad Dunajom, Siege of Sevastopol, Mirgorod direction offensive, Defense of the Adzhimushkay quarry, Black Sea campaigns, Battle of the Dniestr River Crossing, Battle of Tula, Operation Silver Fox, Kholm Pocket, Tartu Offensive, Battle for Narva (1944), Battle of Romania, Battle of Belgorod, Danube Delta Campaign, Narva Offensive (18–24 March 1944), Crimean Offensive, First Jassy–Kishinev Offensive, Battle of the Dukla Pass, Stalin's ten blows, Operation Gallop, Nemmersdorf massacre, Battle of Debrecen, Baltic Sea campaigns, Battle for Leningrad, Leningrad–Novgorod Offensive, Continuation War, Barvenkovo–Lozovaya offensive, Battle of the Oder–Neisse, Operation München, Voronezh–Kharkov Offensive, Nevsky Pyatachok & Nevskaya Dubrovka, Yevpatoria assault, Ostrogozhsk–Rossosh Offensive, Budapest Offensive, Battle of Hanko, Dnieper–Carpathian Offensive, Action of 26 June 1941, Jassy–Kishinev Offensive, Battle of Radzymin, Arctic naval operations of World War II, Battle of the Kerch Peninsula, Operation Zauberflöte, Lvov–Sandomierz Offensive, Battle of Raseiniai, Siege of Leningrad, Vienna Offensive, Second Battle of Kharkov, Battle of Kiev (1943), Battle of the Dnieper, Hunger Plan, Siege of Odesa 1941, Battle of the Seelow Heights, Battle of Nevel (1943), Battle of Lepel, Moravia–Ostrava offensive, Bratislava-Brno Offensive, Axis and Soviet air operations during Operation Barbarossa, Battle of Moscow, Case Blue, Operation Rail War, Mozdok-Malgobek Operation, Frontier battles of Operation Barbarossa (1941), Battle of the Sea of Azov, Roslavl–Novozybkov Offensive, Battle of Smolensk, Battle of Bautzen, Vyazemsky operation, Moonsund Landing Operation, Battle of Sukho Island, Bombing of Moscow in 1941, Battle of the Caucasus, Operation Büffel, Operation Bagration, East Pomeranian Offensive, Defense of Borisov, Battle of Memel, German Instrument of Surrender, Third Battle of Kharkov, Uman–Botoşani Offensive, Battle of Bryansk, Donbass Strategic Offensive, Soviet air strikes on Berlin, Defense of Brest Fortress, Attack of the U-209 on the convoy near Matveyev Island, Northern Finland in the offensive phase of the Continuation War in 1941, Anti-Soviet resistance by the Ukrainian Insurgent Army, Battle of Sokolovo, Sinyavino Heights, Donbass Strategic Offensive (August 1943), Operation Edelweiss, Operation Barbarossa, Battle of Lenino, Petsamo–Kirkenes Offensive",,no,no
http://www.wikidata.org/entity/Q190029,Kosovo War,1998-02-01T00:00:00Z,1998-02-27T00:00:00Z,1999-06-11T00:00:00Z,,Kosovo,"Luxembourg, Germany, Federal Republic of Yugoslavia, Iceland, United Kingdom, Hungary, Portugal, Kosovo Liberation Army, France, Spain, Netherlands, Czech Republic, Poland, Turkey, Denmark, United States of America, Albania, Norway, Canada, Italy, Belgium",Yugoslav Wars,"Battle of Belaćevac Mine, Attack on Prekaz, Battle of Lodja, Likoshane and Qirez massacre, April 23, 1998 Albanian–Yugoslav border ambush, December 14, 1998 Albanian–Yugoslav border ambush, July 18, 1998 Albanian–Yugoslav border clashes, Battle of Glodjane, Albania–Yugoslav border incident, Battle of Podujevo, Izbica massacre, Meja massacre, Meja ambush, Battle of Junik, NATO bombing of Yugoslavia, Operation Echo, December 3, 1998 Albanian–Yugoslav border clash, Attack on Orahovac",,no,no
http://www.wikidata.org/entity/Q190758,War in Darfur,2003-02-26T00:00:00Z,2003-02-26T00:00:00Z,,Sudan,Darfur,"Janjaweed, Sudanese Awakening Revolutionary Council, Sudan, Sudan Revolutionary Front, African Union – United Nations Hybrid Operation in Darfur",,"Battle of Foro Baranga, 2008 attack on Omdurman and Khartoum, Darfur genocide, Raids on Haskanita",,no,no
http://www.wikidata.org/entity/Q191282,First Opium War,1839-01-01T00:00:00Z,1839-03-18T00:00:00Z,1842-08-29T00:00:00Z,,People's Republic of China,"United Kingdom of Great Britain and Ireland, Qing dynasty","timeline of the Qing dynasty, Opium Wars","Nerbudda incident, Battle of Woosung, Battle of First Bar, Battle of Canton (May 1841), Battle of Kowloon, Battle of Tsekee, Battle of Chapoo, Battle of Chinhai, Battle of the Bogue, Battle of Amoy, Second Battle of Chuenpee, Battle of the Barrier, Battle of Da'an, Battle of Chuenpee, Capture of Chusan, Battle of Canton (March 1841), Battle of Chinkiang, Battle of Ningpo, Battle of Whampoa",,no,no
http://www.wikidata.org/entity/Q194378,Third Servile War,,-0072-01-01T00:00:00Z,-0070-01-01T00:00:00Z,,Italian Peninsula,"Crixus, Spartacus, Ancient Rome, Oenomaus, Ganicus",Servile Wars,"Battle of the Silarius River, Battle of Mount Vesuvius, Battle of Picenum, Battle of Cantenna, Battle of Mount Gargano, battle of Modena (72 BCE), Battle of the Crassus' Wall",,no,no
http://www.wikidata.org/entity/Q195378,Anglo-Nepalese War,1814-11-01T00:00:00Z,1814-01-01T00:00:00Z,1816-01-01T00:00:00Z,,Kingdom of Nepal,"Garhwal Kingdom, Kingdom of Sikkim, East India Company, Patiala State, Kingdom of Nepal",,"Battle of Nalapani, Battle of Jit Gadhi, Battle of Jaithak",,no,no
