War URI,War Label
http://www.wikidata.org/entity/Q184637,Ten Years' War
http://www.wikidata.org/entity/Q185729,War on Terror
http://www.wikidata.org/entity/Q186284,Polish–Soviet War
http://www.wikidata.org/entity/Q186336,Dutch Revolt
http://www.wikidata.org/entity/Q189266,Eastern Front
http://www.wikidata.org/entity/Q190029,Kosovo War
http://www.wikidata.org/entity/Q190758,War in Darfur
http://www.wikidata.org/entity/Q191282,First Opium War
http://www.wikidata.org/entity/Q194378,Third Servile War
http://www.wikidata.org/entity/Q195378,Anglo-Nepalese War
http://www.wikidata.org/entity/Q196409,Livonian Crusade
http://www.wikidata.org/entity/Q199955,Hundred Days
http://www.wikidata.org/entity/Q202161,Gallic War
http://www.wikidata.org/entity/Q202465,Uganda–Tanzania War
http://www.wikidata.org/entity/Q202578,First Jewish-Roman War
http://www.wikidata.org/entity/Q203824,Italo-Turkish War
http://www.wikidata.org/entity/Q207318,French Revolutionary Wars
http://www.wikidata.org/entity/Q208261,Ionian Revolt
http://www.wikidata.org/entity/Q214456,Philippine–American War
http://www.wikidata.org/entity/Q215112,Second Boer War
http://www.wikidata.org/entity/Q220602,Soviet–Japanese War
http://www.wikidata.org/entity/Q223085,the hundred hour war
http://www.wikidata.org/entity/Q223126,Chaco War
http://www.wikidata.org/entity/Q223604,Greco-Italian War
http://www.wikidata.org/entity/Q228911,Anglo-Zulu War
http://www.wikidata.org/entity/Q233500,Second Anglo-Burmese War
http://www.wikidata.org/entity/Q233507,Second Anglo-Afghan War
http://www.wikidata.org/entity/Q233509,Second Bremish-Swedish War
http://www.wikidata.org/entity/Q233538,Second Danish-Hanseatic War
http://www.wikidata.org/entity/Q233553,Second Sacred War
http://www.wikidata.org/entity/Q233559,Second Hundred Years' War
http://www.wikidata.org/entity/Q233583,Indo-Pakistani War of 1965
http://www.wikidata.org/entity/Q233594,Second War of Kappel
http://www.wikidata.org/entity/Q233601,Second Carnatic War
http://www.wikidata.org/entity/Q233642,Second Anglo-Maratha War
http://www.wikidata.org/entity/Q233649,Second Margrave War
http://www.wikidata.org/entity/Q233657,Second Matabele War
http://www.wikidata.org/entity/Q233663,Second Anglo-Mysore War
http://www.wikidata.org/entity/Q233667,Second Olynthian War
http://www.wikidata.org/entity/Q233702,Second Silesian War
http://www.wikidata.org/entity/Q240243,Wars of Kappel
http://www.wikidata.org/entity/Q246863,Livonian War
http://www.wikidata.org/entity/Q248984,Muslim conquest of Syria
http://www.wikidata.org/entity/Q249232,War of the Third Coalition
http://www.wikidata.org/entity/Q252298,Hungarian–Romanian War
http://www.wikidata.org/entity/Q254106,Crimean War
http://www.wikidata.org/entity/Q258679,Austro-Turkish War
http://www.wikidata.org/entity/Q260684,Alexander's Balkan campaign
http://www.wikidata.org/entity/Q277392,Polish–Ottoman War of 1620–1621
http://www.wikidata.org/entity/Q282009,Juanillo Rebellion
http://www.wikidata.org/entity/Q285280,Transnistria War
http://www.wikidata.org/entity/Q287942,Russo-Turkish War (1828–1829)
http://www.wikidata.org/entity/Q288251,Cisplatine War
http://www.wikidata.org/entity/Q303801,Lord's Resistance Army insurgency
http://www.wikidata.org/entity/Q306150,Polish–Austrian War
http://www.wikidata.org/entity/Q315342,Burgundian Wars
http://www.wikidata.org/entity/Q317210,The first war between the Hanseatic League and Denmark
http://www.wikidata.org/entity/Q317519,Arab conquest of Egypt
http://www.wikidata.org/entity/Q318250,Ogden War
http://www.wikidata.org/entity/Q319198,Saxon feud
http://www.wikidata.org/entity/Q320755,War of Metz
http://www.wikidata.org/entity/Q322607,War of Attrition
http://www.wikidata.org/entity/Q324438,War of the Pyrenees
http://www.wikidata.org/entity/Q325314,Tecumseh's War
http://www.wikidata.org/entity/Q327237,Kivu conflict
http://www.wikidata.org/entity/Q327513,Byzantine–Genoese War of 1348–1349
http://www.wikidata.org/entity/Q329203,First Boer War
http://www.wikidata.org/entity/Q333023,Teutonic takeover of Danzig
http://www.wikidata.org/entity/Q368594,Banjarmasin War
http://www.wikidata.org/entity/Q369291,Anglo-Spanish War
http://www.wikidata.org/entity/Q370963,Russo-Swedish War of 1554–57
http://www.wikidata.org/entity/Q371394,Bangladesh Liberation War
http://www.wikidata.org/entity/Q372330,Fifth Syrian War (202–195 BCE)
http://www.wikidata.org/entity/Q372338,Sixth Syrian War (170–168 BCE)
http://www.wikidata.org/entity/Q381375,First Nagorno-Karabakh War
http://www.wikidata.org/entity/Q382116,Caucasian War
http://www.wikidata.org/entity/Q385676,Ōnin War
http://www.wikidata.org/entity/Q387020,Social War
http://www.wikidata.org/entity/Q400465,Little War
http://www.wikidata.org/entity/Q404517,Kargil War
http://www.wikidata.org/entity/Q418151,Second Opium War
http://www.wikidata.org/entity/Q422082,Philippine Revolution
http://www.wikidata.org/entity/Q426201,Gunboat War
http://www.wikidata.org/entity/Q430053,Great Sioux War of 1876
http://www.wikidata.org/entity/Q430572,Scottish–Norwegian War
http://www.wikidata.org/entity/Q430726,Anglo-Spanish War
http://www.wikidata.org/entity/Q431001,Spanish–Portuguese War (1762–1763)
http://www.wikidata.org/entity/Q431177,Mongol invasion of Khwarezmia and Eastern Iran
http://www.wikidata.org/entity/Q431806,Arauco War
http://www.wikidata.org/entity/Q438252,Old Zürich War
http://www.wikidata.org/entity/Q442268,Anglo-Hanseatic War
http://www.wikidata.org/entity/Q443226,Contra insurgency
http://www.wikidata.org/entity/Q455747,Appenzell Wars
http://www.wikidata.org/entity/Q462964,November Uprising
http://www.wikidata.org/entity/Q464347,Saxon Rebellion
http://www.wikidata.org/entity/Q468120,Saxon Fratricidal War
http://www.wikidata.org/entity/Q474891,Texas–Indian wars
http://www.wikidata.org/entity/Q477973,Gothic War of 535–554
http://www.wikidata.org/entity/Q486831,Roman–Seleucid War
http://www.wikidata.org/entity/Q495202,Guerra de la Union y la Fuerza
http://www.wikidata.org/entity/Q2487,Thirty Years' War
http://www.wikidata.org/entity/Q6254,Kitos War
http://www.wikidata.org/entity/Q6271,Second Punic War
http://www.wikidata.org/entity/Q6286,First Punic War
http://www.wikidata.org/entity/Q6334,Third Punic War
http://www.wikidata.org/entity/Q6683,Mexican-American War
http://www.wikidata.org/entity/Q8628,War in the Vendée
http://www.wikidata.org/entity/Q8663,Korean War
http://www.wikidata.org/entity/Q8676,American Civil War
http://www.wikidata.org/entity/Q8740,Vietnam War
http://www.wikidata.org/entity/Q8961,Spanish reconquest of New Granada
http://www.wikidata.org/entity/Q12551,Hundred Years' War
http://www.wikidata.org/entity/Q12583,Spanish–American War
http://www.wikidata.org/entity/Q25857,War of Devolution
http://www.wikidata.org/entity/Q26013,War of 1812
http://www.wikidata.org/entity/Q26749,War of the Second Coalition
http://www.wikidata.org/entity/Q28365,Lamian War
http://www.wikidata.org/entity/Q29100,Arab–Byzantine wars
http://www.wikidata.org/entity/Q29122,First Anglo-Burmese War
http://www.wikidata.org/entity/Q29242,Georgian–Ossetian conflict
http://www.wikidata.org/entity/Q29269,First Chechen War
http://www.wikidata.org/entity/Q31301,Anglo-Turkish War
http://www.wikidata.org/entity/Q31307,Burmese–Siamese War (1765–67)
http://www.wikidata.org/entity/Q31880,Castille War
http://www.wikidata.org/entity/Q31944,Mahdist War
http://www.wikidata.org/entity/Q32929,War of the Austrian Succession
http://www.wikidata.org/entity/Q33143,Seven Years War
http://www.wikidata.org/entity/Q33745,Peloponnesian War
http://www.wikidata.org/entity/Q34103,Second Syrian War (260–253 BCE)
http://www.wikidata.org/entity/Q34145,Third Syrian War (246–241 BCE)
http://www.wikidata.org/entity/Q37643,Gulf War
http://www.wikidata.org/entity/Q39194,Spanish reconquest of Santo Domingo
http://www.wikidata.org/entity/Q40837,Anglo-Afghan Wars
http://www.wikidata.org/entity/Q46083,Franco-Prussian War
http://www.wikidata.org/entity/Q47985,Rus'–Byzantine War (1043)
http://www.wikidata.org/entity/Q48249,Falklands War
http://www.wikidata.org/entity/Q48883,Goguryeo–Sui War
http://www.wikidata.org/entity/Q49077,Six-Day War
http://www.wikidata.org/entity/Q49092,1948 Arab–Israeli War
http://www.wikidata.org/entity/Q49097,1948 Palestine war
http://www.wikidata.org/entity/Q49100,Yom Kippur War
http://www.wikidata.org/entity/Q49101,Suez Crisis
